time,sim
2002-10-02,24.68940428800709
2002-10-03,118.4879678910786
2002-10-04,165.3643347586663
2002-10-05,139.15591013565782
2002-10-06,108.38677709138221
2002-10-07,88.00757229540498
2002-10-08,74.35510900734923
2002-10-09,63.08604204632011
2002-10-10,55.696170284162626
2002-10-11,51.37246421081415
2002-10-12,49.305065176323616
2002-10-13,46.07001620527782
2002-10-14,42.39918503858786
2002-10-15,40.13260525167309
2002-10-16,38.5424389378619
2002-10-17,37.308525893142054
2002-10-18,36.45648614546858
2002-10-19,35.46699961199792
2002-10-20,34.52513426023908
2002-10-21,33.5449941348767
2002-10-22,32.77646897110887
2002-10-23,32.11326919850948
2002-10-24,31.511025694652165
2002-10-25,30.955461559534758
2002-10-26,30.438594558615577
2002-10-27,29.954424903487503
2002-10-28,29.498232437176515
2002-10-29,29.066001926794403
2002-10-30,28.653294305273533
2002-10-31,28.396511762940207
2002-11-01,28.38118639902433
2002-11-02,27.67775867555862
2002-11-03,27.153787835581177
2002-11-04,26.756120515932952
2002-11-05,26.382828512012406
2002-11-06,26.011597220519505
2002-11-07,25.638940927563013
2002-11-08,25.26344872208817
2002-11-09,24.885071717622708
2002-11-10,24.50523362827866
2002-11-11,24.124316961678314
2002-11-12,23.74316140799011
2002-11-13,23.361920831436443
2002-11-14,22.981058262846364
2002-11-15,22.601844064705233
2002-11-16,22.225595104285894
2002-11-17,21.852852693804564
2002-11-18,21.484372565154622
2002-11-19,21.120756322882926
2002-11-20,20.762565200033634
2002-11-21,20.40969099435541
2002-11-22,20.062760720917233
2002-11-23,19.722677583693415
2002-11-24,19.389420860296028
2002-11-25,19.063176560190552
2002-11-26,18.74399981540413
2002-11-27,18.43213947294089
2002-11-28,18.127563957208174
2002-11-29,17.830142635930756
2002-11-30,17.53962750431599
2002-12-01,17.25608192006858
2002-12-02,16.97912448952624
2002-12-03,16.70869404191204
2002-12-04,16.44460970515141
2002-12-05,16.1866956625454
2002-12-06,15.93473017483353
2002-12-07,15.688544665199709
2002-12-08,15.447729908207155
2002-12-09,15.212170661827667
2002-12-10,14.981641791834225
2002-12-11,14.755930918523532
2002-12-12,14.534896608345772
2002-12-13,14.318218814858009
2002-12-14,14.105482993283383
2002-12-15,13.89657015703312
2002-12-16,13.691577311103789
2002-12-17,13.490155475797046
2002-12-18,13.292161206664897
2002-12-19,13.09760831048478
2002-12-20,12.906396824024482
2002-12-21,12.718368204668906
2002-12-22,12.5334232584639
2002-12-23,12.351499164931488
2002-12-24,12.17260095963448
2002-12-25,11.996584284525756
2002-12-26,11.82352175666962
2002-12-27,11.653352812527324
2002-12-28,11.48602018114485
2002-12-29,11.321554022395391
2002-12-30,11.159941552356344
2002-12-31,11.001157862209153
2003-01-01,10.845072856349598
2003-01-02,10.691608840877949
2003-01-03,10.54096080458538
2003-01-04,10.393015323001842
2003-01-05,10.247425372364606
2003-01-06,10.104307196866698
2003-01-07,9.963886441908128
2003-01-08,9.825876724458373
2003-01-09,9.6903324460429
2003-01-10,9.557294957399709
2003-01-11,9.426659145389635
2003-01-12,9.298404497134126
2003-01-13,9.172541143258389
2003-01-14,9.049100013460885
2003-01-15,8.92791703089141
2003-01-16,8.808968108021496
2003-01-17,8.69233434861155
2003-01-18,8.57794726693062
2003-01-19,8.46570578608545
2003-01-20,8.355629348077962
2003-01-21,8.247692933243632
2003-01-22,8.14177094444116
2003-01-23,8.037878824647635
2003-01-24,7.936031928450636
2003-01-25,7.836093781529432
2003-01-26,7.738067682327102
2003-01-27,7.641840740867604
2003-01-28,7.547406653291511
2003-01-29,7.454595210235266
2003-01-30,7.363524047607237
2003-01-31,7.274231454337655
2003-02-01,7.186557529994324
2003-02-02,7.100448349666856
2003-02-03,7.015862005941549
2003-02-04,6.9327098801282645
2003-02-05,6.851044523626817
2003-02-06,6.770895145255645
2003-02-07,6.692200758261868
2003-02-08,6.614860984498095
2003-02-09,6.538893606127331
2003-02-10,6.464245308967495
2003-02-11,6.390932644140181
2003-02-12,6.318831195339562
2003-02-13,6.247974023077484
2003-02-14,6.178240332350852
2003-02-15,6.109502219239616
2003-02-16,6.041704328880852
2003-02-17,5.974833737483146
2003-02-18,5.908914222470629
2003-02-19,5.844018702076166
2003-02-20,5.780018909458587
2003-02-21,5.716889502239945
2003-02-22,5.654696681063593
2003-02-23,5.593388123184297
2003-02-24,5.5329183352027504
2003-02-25,5.473396837386516
2003-02-26,5.369283045087198
2003-02-27,5.2188294274229206
2003-02-28,5.265585508843598
2003-03-01,5.238969673985868
2003-03-02,5.187865201122019
2003-03-03,5.133784356430439
2003-03-04,5.079961730417186
2003-03-05,5.0268344416419275
2003-03-06,4.974469784457703
2003-03-07,4.922765970836662
2003-03-08,4.871826732839111
2003-03-09,4.821602338549868
2003-03-10,4.772047736867423
2003-03-11,4.723185075549977
2003-03-12,4.674988646889838
2003-03-13,4.62733675574016
2003-03-14,4.580315142492464
2003-03-15,4.5338901679732055
2003-03-16,4.487966095529518
2003-03-17,4.442542516231922
2003-03-18,4.397626421434165
2003-03-19,4.353240989424486
2003-03-20,4.309301101116278
2003-03-21,4.265766874256182
2003-03-22,4.222634723958868
2003-03-23,4.17989541005606
2003-03-24,4.137628649933031
2003-03-25,4.0958213691724294
2003-03-26,4.0544816645782955
2003-03-27,4.01363526751568
