Date,CAN_05BB001
2002-10-01,882.86500287814
2002-10-02,836.956049671378
2002-10-03,815.767276130852
2002-10-04,801.641449556253
2002-10-05,780.452676015727
2002-10-06,769.858255566836
2002-10-07,780.452676015727
2002-10-08,794.578502590326
2002-10-09,769.858255566836
2002-10-10,741.606602417638
2002-10-11,723.949302360075
2002-10-12,688.634702244949
2002-10-13,702.760528819549
2002-10-14,688.634702244949
2002-10-15,674.50887567035
2002-10-16,663.91445522146
2002-10-17,649.78862864686
2002-10-18,639.194275555224
2002-10-19,625.068448980625
2002-10-20,618.005502014698
2002-10-21,607.411148923062
2002-10-22,603.879675440099
2002-10-23,568.565075324973
2002-10-24,519.124614956621
2002-10-25,504.998788382021
2002-10-26,508.530228186358
2002-10-27,487.341488324459
2002-10-28,480.278575037159
2002-10-29,462.621274979596
2002-10-30,384.929127783418
2002-10-31,360.208914438556
2002-11-01,388.460601266382
2002-11-02,399.054988036645
2002-11-03,395.523514553681
2002-11-04,399.054988036645
2002-11-05,402.586427840981
2002-11-06,427.306674864471
2002-11-07,459.089801496633
2002-11-08,466.152714783932
2002-11-09,469.684188266896
2002-11-10,466.152714783932
2002-11-11,455.558328013669
2002-11-12,441.43250143907
2002-11-13,434.36958815177
2002-11-14,427.306674864471
2002-11-15,423.775201381507
2002-11-16,413.180814611244
2002-11-17,416.712288094207
2002-11-18,413.180814611244
2002-11-19,413.180814611244
2002-11-20,413.180814611244
2002-11-21,409.649374806908
2002-11-22,406.117901323944
2002-11-23,391.992074749345
2002-11-24,312.887344895707
2002-11-25,281.457355508253
2002-11-26,301.233529552006
2002-11-27,346.083087863956
2002-11-28,363.740387921519
2002-11-29,360.208914438556
2002-11-30,350.320835836336
2002-12-01,336.548129667131
2002-12-02,335.841855177715
2002-12-03,347.495670521416
2002-12-04,311.474762238247
2002-12-05,264.50634677942
2002-12-06,282.163646836983
2002-12-07,280.044772850793
2002-12-08,295.230044838144
2002-12-09,304.765003034969
2002-12-10,311.474762238247
2002-12-11,335.841855177715
2002-12-12,335.488701093693
2002-12-13,349.261407262898
2002-12-14,349.614527668293
2002-12-15,353.146001151256
2002-12-16,353.146001151256
2002-12-17,348.201945010833
2002-12-18,325.247468407452
2002-12-19,310.768487748831
2002-12-20,277.219607535873
2002-12-21,260.26859880704
2002-12-22,249.321074792069
2002-12-23,259.915461562332
2002-12-24,255.677696750639
2002-12-25,263.446918205982
2002-12-26,285.341966235925
2002-12-27,301.233529552006
2002-12-28,307.943322433911
2002-12-29,316.065664294649
2002-12-30,315.00623572121
2002-12-31,317.125092868087
2003-01-01,313.946807147772
2003-01-02,322.06914900851
2003-01-03,330.897799037292
2003-01-04,331.95722761073
2003-01-05,336.901283751153
2003-01-06,333.36981026819
2003-01-07,325.247468407452
2003-01-08,318.890829609569
2003-01-09,294.87692443275
2003-01-10,264.50634677942
2003-01-11,264.153209534712
2003-01-12,302.999266293487
2003-01-13,315.712510210627
2003-01-14,301.939837720049
2003-01-15,305.471277524386
2003-01-16,301.233529552006
2003-01-17,295.230044838144
2003-01-18,294.87692443275
2003-01-19,298.055210153064
2003-01-20,303.705574461531
2003-01-21,294.87692443275
2003-01-22,263.09376412196
2003-01-23,286.401394809363
2003-01-24,307.943322433911
2003-01-25,307.237014265867
2003-01-26,310.415333664809
2003-01-27,315.00623572121
2003-01-28,305.471277524386
2003-01-29,293.817462180684
2003-01-30,294.87692443275
2003-01-31,295.230044838144
2003-02-01,291.345450949786
2003-02-02,281.810509592275
2003-02-03,276.160178962435
2003-02-04,274.747596304975
2003-02-05,266.978374849632
2003-02-06,252.852531435719
2003-02-07,251.086811533551
2003-02-08,257.443433492121
2003-02-09,262.38747279323
2003-02-10,259.915461562332
2003-02-11,250.380520204821
2003-02-12,248.614783463339
2003-02-13,238.020396693076
2003-02-14,241.551870176039
2003-02-15,242.611298749478
2003-02-16,245.436464064397
2003-02-17,244.023881406938
2003-02-18,236.960968119638
2003-02-19,234.842094133448
2003-02-20,235.548385462178
2003-02-21,221.422542048265
2003-02-22,209.415572620542
2003-02-23,199.174339934301
2003-02-24,223.541416034455
2003-02-25,227.779164006835
2003-02-26,235.548385462178
2003-02-27,244.377035490959
2003-02-28,239.079842105828
2003-03-01,243.317590078208
2003-03-02,241.551870176039
2003-03-03,239.786133434558
2003-03-04,226.013444104667
2003-03-05,241.905007420748
2003-03-06,222.481987461017
2003-03-07,220.716250719535
2003-03-08,229.544900748316
2003-03-09,243.670744162229
2003-03-10,263.446918205982
2003-03-11,276.160178962435
2003-03-12,284.282537662487
2003-03-13,307.237014265867
2003-03-14,305.118157118991
2003-03-15,291.345450949786
2003-03-16,276.160178962435
2003-03-17,273.688150892223
2003-03-18,272.275568234763
2003-03-19,278.632190193333
2003-03-20,275.100733549683
2003-03-21,278.632190193333
2003-03-22,280.044772850793
2003-03-23,282.869955005027
2003-03-24,277.572761619895
2003-03-25,273.334996808202
2003-03-26,274.394442220953
2003-03-27,276.866470291165
2003-03-28,275.453887633705
2003-03-29,277.219607535873
2003-03-30,281.457355508253
2003-03-31,296.28950709021
2003-04-01,292.404879523224
2003-04-02,281.104218263545
2003-04-03,271.216122822012
2003-04-04,271.216122822012
2003-04-05,275.453887633705
2003-04-06,273.688150892223
2003-04-07,282.516800921005
2003-04-08,291.345450949786
2003-04-09,309.355905091371
2003-04-10,311.827916322269
2003-04-11,321.715994924488
2003-04-12,325.953742896868
2003-04-13,338.313866408613
2003-04-14,350.320835836336
2003-04-15,344.670505206496
2003-04-16,343.964197038453
2003-04-17,332.663535778773
2003-04-18,321.715994924488
2003-04-19,315.712510210627
2003-04-20,321.009720435072
2003-04-21,339.020174576657
2003-04-22,360.208914438556
2003-04-23,399.054988036645
2003-04-24,437.901027956106
2003-04-25,840.487455797087
2003-04-26,1055.9065299708
2003-04-27,918.179602993266
2003-04-28,812.235802647889
2003-04-29,720.417828877112
2003-04-30,656.851575612787
2003-05-01,653.320102129824
2003-05-02,674.50887567035
2003-05-03,699.229055336585
2003-05-04,656.851575612787
2003-05-05,618.005502014698
2003-05-06,600.348201957135
2003-05-07,572.096548807936
2003-05-08,543.844828301483
2003-05-09,522.656088439584
2003-05-10,512.061701669321
2003-05-11,512.061701669321
2003-05-12,554.439215071747
2003-05-13,621.536975497661
2003-05-14,706.292002302512
2003-05-15,829.893102705451
2003-05-16,847.550402763014
2003-05-17,766.326849441127
2003-05-18,716.886355394148
2003-05-19,663.91445522146
2003-05-20,639.194275555224
2003-05-21,625.068448980625
2003-05-22,632.131328589297
2003-05-23,692.166175727913
2003-05-24,942.899850016755
2003-05-25,2765.13329678594
2003-05-26,4908.72941600246
2003-05-27,4696.8418153117
2003-05-28,4449.63961450583
2003-05-29,4873.41481588733
2003-05-30,5191.24621692346
2003-05-31,5226.56081703859
2003-06-01,5261.87541715371
2003-06-02,5544.39221807472
2003-06-03,4944.04401611758
2003-06-04,4343.69581416045
2003-06-05,4308.38121404532
2003-06-06,4343.69581416045
2003-06-07,4555.5834148512
2003-06-08,5191.24621692346
2003-06-09,5403.13381761422
2003-06-10,5367.81921749909
2003-06-11,5791.5944188806
2003-06-12,5226.56081703859
2003-06-13,5014.67321634783
2003-06-14,5191.24621692346
2003-06-15,4802.78561565708
2003-06-16,4273.0666139302
2003-06-17,4202.43741369995
2003-06-18,4555.5834148512
2003-06-19,5297.19001726884
2003-06-20,5544.39221807472
2003-06-21,5403.13381761422
2003-06-22,4696.8418153117
2003-06-23,4096.49361335457
2003-06-24,3602.08921174281
2003-06-25,3227.75450440828
2003-06-26,3142.99941024618
2003-06-27,3344.29252313079
2003-06-28,3474.95670521416
2003-06-29,3489.08259914602
2003-06-30,3672.71841197306
2003-07-01,3849.29141254869
2003-07-02,3520.86552370642
2003-07-03,3121.81070406291
2003-07-04,2673.3151209434
2003-07-05,2556.7771022209
2003-07-06,2645.06360250871
2003-07-07,2496.74212036777
2003-07-08,2496.74212036777
2003-07-09,2602.68592071315
2003-07-10,2429.64459569225
2003-07-11,2415.51870176039
2003-07-12,2620.34322077071
2003-07-13,2987.61511585382
2003-07-14,3079.43302226735
2003-07-15,2782.7905968435
2003-07-16,2616.811814645
2003-07-17,2655.65782088584
2003-07-18,2630.93770857686
2003-07-19,2475.5534141845
2003-07-20,2433.17600181796
2003-07-21,2447.30189574981
2003-07-22,2426.11292013752
2003-07-23,2472.02200805879
2003-07-24,2443.77022019508
2003-07-25,2337.82641984971
2003-07-26,2214.22545416128
2003-07-27,2090.62435375834
2003-07-28,2080.0300006667
2003-07-29,2108.2816538159
2003-07-30,2122.40741303324
2003-07-31,2118.87600690754
2003-08-01,2164.7849601143
2003-08-02,2178.91085404615
2003-08-03,2118.87600690754
2003-08-04,2019.99515352809
2003-08-05,1931.70865324027
2003-08-06,1892.86251228493
2003-08-07,1882.26815919329
2003-08-08,1892.86251228493
2003-08-09,1846.95355907817
2003-08-10,1825.7648528949
2003-08-11,1846.95355907817
2003-08-12,1776.32435884792
2003-08-13,1666.84915237683
2003-08-14,1582.09405821473
2003-08-15,1532.65369888225
2003-08-16,1529.12215804204
2003-08-17,1606.81430523821
2003-08-18,1645.66031147905
2003-08-19,1709.22669945788
2003-08-20,1691.56939940032
2003-08-21,1596.21995214658
2003-08-22,1553.84240506553
2003-08-23,1532.65369888225
2003-08-24,1454.96155168608
2003-08-25,1341.95480437477
2003-08-26,1260.73125105289
2003-08-27,1320.7660981915
2003-08-28,1356.08069830663
2003-08-29,1278.38855111045
2003-08-30,1236.0110040294
2003-08-31,1214.82229784612
2003-09-01,1211.29075700591
2003-09-02,1197.16499778856
2003-09-03,1183.03910385671
2003-09-04,1204.22781003998
2003-09-05,1236.0110040294
2003-09-06,1236.0110040294
2003-09-07,1239.54241015511
2003-09-08,1260.73125105289
2003-09-09,1401.98965151339
2003-09-10,1313.70315122557
2003-09-11,1190.10205082263
2003-09-12,1183.03910385671
2003-09-13,1084.15825047726
2003-09-14,1009.99757676404
2003-09-15,995.871750189444
2003-09-16,1013.52905024701
2003-09-17,978.214450131881
2003-09-18,932.305429567865
2003-09-19,900.522302935703
2003-09-20,896.99082945274
2003-09-21,865.207702820577
2003-09-22,836.956049671378
2003-09-23,840.487455797087
2003-09-24,854.613349728941
2003-09-25,829.893102705451
2003-09-26,812.235802647889
2003-09-27,791.047029107363
2003-09-28,780.452676015727
2003-09-29,773.3897290498
2003-09-30,762.795375958164
2003-10-01,748.669549383564
2003-10-02,734.543655451711
2003-10-03,723.949302360075
2003-10-04,716.886355394148
2003-10-05,709.823475785475
2003-10-06,702.760528819549
2003-10-07,699.229055336585
2003-10-08,706.292002302512
2003-10-09,720.417828877112
2003-10-10,709.823475785475
2003-10-11,688.634702244949
2003-10-12,674.50887567035
2003-10-13,670.977402187386
2003-10-14,660.38304909575
2003-10-15,639.194275555224
2003-10-16,628.599855106334
2003-10-17,713.354949268439
